,Best months for climbing:,Continent:,Convenient Center:,Country:,Difficulty:,Elevation (feet):,Elevation (meters):,First successful climber(s):,Latitude:,Longitude:,Most recent eruption:,Nearest major airport:,Province:,Range/Region:,State:,Volcanic status:,Year first climbed:
Wolfberg,"Jan, Feb, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Africa,Clanwilliam,South Africa,Walk up,5279.0,1609.0392,"First climbers in the area were G. Mann, G. Amphlett and A. Stark",-32.45,19.2667,,Cape Town,,Cape Ranges,,,1896.0
Sneeuberg,"Jan, Feb, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Africa,Clanwilliam,South Africa,Scramble,6650.0,2026.92,"First climbers in the area were G. Mann, G. Amphlett and A. Stark",-32.5167,19.1667,,Cape Town,,Cape Ranges,,,1896.0
Tafelberg,"Jan, Feb, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Africa,Clanwilliam,South Africa,Scramble,6460.0,1969.0079999999998,G. Mann and Viljoen,-32.4167,19.2,,Cape Town,,Cape Ranges,,,1896.0
Urbion,"May, Jun, Jul, Aug, Sep, Oct",Europe,Logroү,Spain,Walk up,7388.0,2251.8624,Juan A BAlorios,42.008998999999996,-2.746925,,Bilbao (BIO),,Sistema Iberico,,,1760.0
Mount Magazine,"Feb, Mar, Apr, May, Jun, Sep, Oct, Nov",North America,"Paris, Arkansas",United States,Walk up,2753.0,839.1144,,35.1667,-93.64469799999999,,"Little Rock,Arkansas",,Ozark Highlands,Arkansas,,
Caraz I,"May, Jun, Jul, Aug, Sep",South America,Huaraz,Peru,Basic Snow/Ice Climb,19767.0,6024.9816,"H. Hubert, A. Koch, H. Schmidt",,,,Lima,,Peruvian Andes,,,1955.0
Nadelhorn,"Jul, Aug, Sep",Europe,Saas Fe,Switzerland,Basic Snow/Ice Climb,14196.0,4326.9408,,46.10875,7.864167,,Geneva,,Pennine Alps,,,
Roan High Knob,"Jun, Jul",North America,,United States,Walk up,6285.0,1915.668,,36.1044,-82.1225,,"Asheville,N.C.",,Blue Ridge Mountains,North Carolina/Tennessee,,
Trugberg,"Jun, Jul, Aug, Sep",Europe,"Grindelwald, Switzerland",Switzerland,Basic Snow/Ice Climb,12730.0,3880.1040000000003,,46.547528,8.015471,,"Bern, Switzerland",,,,,
Andrews Bald,"Apr, May, Jun, Jul, Aug, Sep, Oct",North America,"Cherokee, North Carolina",United States,Walk up,5860.0,1786.128,,35.5417,-83.4933,,Ashville,,Blue Ridge Mountains,North Carolina,,
Grnegghorn,"Jul, Aug, Sep",Europe,,Switzerland,Basic Snow/Ice Climb,12664.0,3859.9872,,,,,,,,,,
Mount Craig,"May, Jun, Jul, Aug, Sep, Oct",North America,,United States,Walk up,6645.0,2025.396,,35.7775,-82.2619,,Asheville,,,North Carolina,,
Grandfather Mountain,"May, Jun, Jul, Aug, Sep, Oct",North America,"Banner Elk, Blowing Rock, Boone",United States,Walk up,5964.0,1817.8272,,36.115,-81.8619,,,,Blue Ridge Mountains,North Carolina,,
Crestone Peak,"Jul, Aug, Sep",North America,Westcliffe,United States,Scramble,14294.0,4356.8112,Albert Ellingwood,37.9667,-105.585,,Denver or Colorado Springs,,Sangre de Cristo Range,Colorado,,1916.0
Capitol Peak,"Jul, Aug, Sep",North America,,United States,Scramble,14130.0,4306.8240000000005,,39.1503,-107.08200000000001,,"Aspen, Eagle or Denver",,Elk Range Area,Colorado,,1909.0
Craggy Pinnacle,"May, Jun, Jul, Aug, Sep, Oct",North America,Asheville,United States,Walk up,5892.0,1795.8816,,35.7033,-82.3781,,Asheville,,,North Carolina,,
Yarigadake,,Asia,Kami,Japan,Scramble,10433.0,3179.9784,,36.3428,137.648,,Matsumoto,,Honshu,,,
Urus,"Jun, Jul, Aug",South America,Huaraz,Peru,Basic Snow/Ice Climb,17880.0,5449.8240000000005,,,,,Lima,,Peruvian Andes,,,
Mount Andromeda,"Jul, Aug",North America,Jasper,Canada,Technical Climb,11320.0,3450.336,".R. Hainsworth, J.F. Lehmann, M.M. Strumia",52.174195000000005,-117.238798,,Edmonton,Alberta,Canadian Rockies,,,1930.0
Mount Kitchener,"Jul, Aug",North America,Jasper,Canada,Basic Snow/Ice Climb,11500.0,3505.2,"Alfred J. Ostheimer, guided by Hans Fuhrer",52.215706,-117.321281,,Edmonton,Alberta,Canadian Rockies,,,1927.0
Snow Dome,"Jul, Aug",North America,Jasper,Canada,Basic Snow/Ice Climb,11549.0,3520.1352,"J. Norman Collie, Hugh Stutfield, Herman Woolley",52.189615,-117.31716200000001,,Edmonton,Alberta,Canadian Rockies,,,1898.0
Albright Peak,"Jul, Aug, Sep",North America,Moose,United States,Walk up,10550.0,3215.64,,43.6708,-110.81299999999999,,Jackson,,Teton Range - Yellowstone Area,Wyoming,,
Kebnekaise,"Jul, Aug, Sep",Europe,,Sweden,Walk up,6926.0,2111.0448,,67.8833,18.55,,Kiruna,,,,,1883.0
Wallface Mountain,"May, Jul, Aug, Sep, Oct",North America,Lake Placid,United States,Technical Climb,3727.0,1135.9896,,44.1378,-74.0369,,Albany,,Adirondacks,New York,,
Guagua Pichincha,"Jun, Jul, Aug, Sep",South America,Quito,Ecuador,Walk up,15695.0,4783.835999999999,,-0.177068,-78.598766,several eruptions in the last century,Quito,,Ecuador Andes,,Active,
Corazón,"Jan, Feb, Jun, Jul, Aug, Nov, Dec",South America,Machachi,Ecuador,Scramble,15715.0,4789.932,,-0.531199,-78.659706,,Quito,,Ecuador Andes,,,
Punta Gnifetti,"Jul, Aug",Europe,Alagna Valsesia,None,Basic Snow/Ice Climb,14957.0,4558.8936,,,,,Malpensa (Milan),,Pennine Alps,,,
Anzer,"May, Jun, Jul, Aug, Sep",Europe,Ikizdere,Turkey,Basic Snow/Ice Climb,10187.0,3104.9976,Koksal HAPELOGLU,,,,Trabzon airport 120 km,,,,,1979.0
Round Bald,"May, Jun, Jul, Aug, Sep, Oct",North America,Boone,United States,Walk up,5826.0,1775.7648,,36.1069,-82.1036,,Asheville,,,"North Carolina,Tennessee",,
Whiteside Mountain,"May, Jun, Jul, Aug, Sep, Oct",North America,Highlands/Cashiers,United States,Walk up,4930.0,1502.664,,35.0809,-83.1382,,Asheville,,Blue Ridge Mountains,North Carolina,,
Buachaille Etive Mor,"Feb, Apr, May, Jun, Nov, Dec",Europe,Fort William,United Kingdom,Walk up,3345.0,1019.556,Norman Collie,56.646176000000004,-4.900846,,Glasgow Int.,,,,,
Chimney Mountain,"Jun, Jul, Aug, Sep, Oct",North America,Indian Lake N.Y.,United States,Scramble,2721.0,829.3608,,43.6928,-74.2108,,"Albany, Glens Falls",,Adirondacks,New York,,
Jane Bald,"May, Jun, Jul, Aug, Sep, Oct",North America,Boone,United States,Walk up,5807.0,1769.9736,,36.1064,-82.0933,,Asheville,,Blue Ridge Mountains,North Carolina/Tennessee,,
Grassy Ridge Bald,"May, Jun, Jul, Aug, Sep, Oct",North America,Boone,United States,Walk up,6050.0,1844.04,,36.0997,-82.0806,,Asheville,,,"North Carolina,Tennessee",,
Condoriri,"Jun, Jul, Aug, Sep",South America,La Paz,Bolivia,Technical Climb,18530.0,5647.944,,-16.168269,-68.242693,,La Paz,,Bolivian Andes,,,
Pyramid Peak,"Jul, Aug, Sep",North America,Aspen,United States,Scramble,14018.0,4272.6864,Percy Hagerman & Harold Clark,39.0714,-106.95,,Aspen,,Elk Range Area,Colorado,,1909.0
Hump Mountain,"May, Jun, Jul, Aug, Sep, Oct",North America,Boone,United States,Walk up,5587.0,1702.9176,,36.14,-82.0117,,Asheville,,Blue Ridge Mountains,North Carolina,,
Monte Velino,"Apr, May, Jun, Jul",Europe,Rocca di Mezzo,Italy,Walk up,8159.0,2486.8632,,42.147327000000004,13.381344,,Roma Fiumicino,,Apennines,,,
Mount Marcy,"Apr, May, Jun, Jul, Aug, Sep, Oct",North America,Keene Valley,United States,Scramble,5344.0,1628.8512,,44.1125,-73.9239,,Lake Placid,,Adirondacks,New York,,
Blemlisalphorn,"Jul, Aug, Sep",Europe,Kandersteg,Switzerland,Technical Climb,12008.0,3660.0384,"R Liveing, L Stephen, J Stone, M Anderegg, F Ogi, P Simond",46.5,7.7666699999999995,,Zürich,,Berner Oberland,,,1860.0
Jannu,"Apr, May, Sep, Oct",Asia,"Hille, Nepal",Nepal,Major Mountain Expedition,25295.0,7709.916,"Robert Paragot, Paul Kellar, Ren Desmaison, Sherpa Gyalzen Mitchu",27.6828,88.0458,,"Kathmandu, Nepal",,Sikkim-Eastern Nepal Himalaya,,,1962.0
Handies Peak,"Jun, Jul, Aug, Sep",North America,Lake City,United States,Walk up,14048.0,4281.8304,Hayden Survey (first recorded),37.9131,-107.50399999999999,,Gunnison or Durango,,San Juan Mountains,Colorado,,1874.0
Flüela Schwarzhorn,"Jan, Feb, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Davos CH,Switzerland,Walk up,10325.0,3147.06,,46.8,9.95,,Zurich,,,,,
Ulugh Muztagh,,Asia,Urumqi,China,Major Mountain Expedition,22923.0,6986.9304,"Hu Fengling, Zhang Baohua, Ardaxi, Mamuti, Wu Qiangxing",36.4125,87.384167,,Urumqi,,Kunlun,,,1985.0
Breithorn,"Jun, Jul, Aug, Sep",Europe,Zermatt,Switzerland,Basic Snow/Ice Climb,13661.0,4163.8728,"Henry Maynard, Joseph-Marie Couttet, Jean Gras, Jean-Baptiste Erin, Jean-Jacques Erin",45.939627,7.7541009999999995,,Geneva,,Pennine Alps,,,1813.0
Mount Timpanogos,"Jun, Jul, Aug, Sep",North America,"Provo, UT",United States,Walk up,11749.0,3581.0952,,40.4,-111.633,,Salt Lake City,,Wasatch Range,Utah,,
Gunung Parang,"Apr, May, Jun, Jul, Aug",Asia,Purwakarta,Indonesia,Technical Climb,3159.0,962.8632,ITB Team,-6.6014919999999995,107.33791200000002,,Cengkareng - Jakarta,,,,,1980.0
Imja Tse,"Apr, May, Oct, Nov",Asia,Namche bazar,Nepal,Basic Snow/Ice Climb,20285.0,6182.868,"C.Evans, A.Gregory, C.Wylie, T.Norgay + 7 sherpas",27.9225,86.936111,,Kathmandu,,Central Nepal Himalaya,,,1953.0
Redcloud Peak,"Jun, Jul, Aug, Sep",North America,Lake City,United States,Walk up,14034.0,4277.5632,Hayden Survey (first recorded),37.9408,-107.421,,Gunnison or Durango,,San Juan Mountains,Colorado,,1874.0
Cerro Tunari,"Apr, May, Jun",South America,Cochabamba,Bolivia,Scramble,17060.0,5199.888,,-17.285438,-66.392291,,,,Bolivian Andes,,,
Sunshine Peak,,North America,Lake City,United States,Walk up,14001.0,4267.5048,Hayden Survey (first recorded),37.9228,-107.425,,Gunnison or Durango,,San Juan Mountains,Colorado,,1874.0
Pinnacle Peak,"Apr, May, Jun, Jul, Aug, Sep",North America,"Paradise Visitors Center, Mt Rainier",United States,Scramble,6562.0,2000.0976,"Uncertain, climbed on July 26, 1897 by a Mazamas party",46.757974,-121.732593,,"Seattle, WA",,Cascade Range,Washington,,
Mount Albert Edward,"Apr, May, Jun, Oct, Nov",Asia,Port Moresby,Papua New Guinea,Walk up,13090.0,3989.8320000000003,DCA engineers,-8.5,147.333,,Port Moresby,,,,,
Mount Victoria,"Apr, May, Oct, Nov",Australia/Oceania,Port Moresby,Papua New Guinea,Walk up,13363.0,4073.0424,,-8.91667,147.5,,Port Moresby,,Owen Stanley Range,,,
Electric Peak,"Jun, Jul, Aug, Sep",North America,Gardiner,United States,Scramble,10992.0,3350.3616,,45.0053,-110.837,,Billings,,Teton Range - Yellowstone Area,Montana,,
Wetterhorn Peak,"Jun, Jul, Aug, Sep",North America,Lake City,United States,Scramble,14015.0,4271.772,"D. Utter, George Barnard, C. Smedley, & W.P. Smedley",38.0606,-107.51,,Gunnison or Durango,,San Juan Mountains,Colorado,,1906.0
Mount Charleston,"Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov",North America,"Las Vegas, Nevada",United States,Walk up,11918.0,3632.6064,,36.4167,-116.25,,"Las Vegas, Nevada",,Great Basin Ranges,Nevada,,
Mera Peak,"Sep, Oct, Nov",Asia,Lukla,Nepal,Basic Snow/Ice Climb,21246.0,6475.7808,"J.O.M. Roberts, Sen Tenzing",27.709166999999997,86.86833299999999,,Lukla,,,,,1953.0
Muttekopf,"Jul, Aug, Sep",Europe,Imst,Austria,Walk up,9111.0,2777.0328,,,,,Innsbruck,,,,,
Parseierspitze,"Jul, Aug, Sep",Europe,Grins,Austria,Scramble,9961.0,3036.1128,,47.174444,10.478333000000001,,Innsbruck,,,,,
Golem Korab,"Jul, Aug",Europe,"Debar, Gostivar",Macedonia,,9068.0,2763.9264,,41.790278,20.546667000000003,,Skopje,,Greek-Albanian Ranges,,,
Weisskugel,"Jul, Aug, Sep",Europe,vent,Austria,Basic Snow/Ice Climb,12267.0,3738.9816,"J.A. Specht, L. Klotz, N. Klotz",46.797778,10.726389,,Innsbruck,,Otztal Alps,,,1850.0
Bishorn,"Jul, Aug, Sep",Europe,Zinal,Switzerland,Basic Snow/Ice Climb,13625.0,4152.9,,46.1179,7.714977,,Geneve / Sion,,,,,
Solunska Glava,"Jun, Jul, Aug",Europe,"Veles, Prilep",Macedonia,,8333.0,2539.8984,,,,,Skopje,,Greek-Albanian Ranges,,,
Titov vrv,"May, Jun, Jul, Aug, Sep, Oct",Europe,Tetovo,Macedonia,Walk up,9012.0,2746.8576,,,,,Skopje,,,,,
Pelister,"Jun, Jul, Aug",Europe,Bitola,Macedonia,Walk up,8533.0,2600.8584,,41.003611,21.186667,,"Ohrid, Skopje",,Greek-Albanian Ranges,,,
Mount Lindsey,"Jun, Jul, Aug, Sep",North America,Gardner,United States,Scramble,14042.0,4280.0016,Wheeler Survey,37.5847,-105.44,,Colorado Springs,,Sangre de Cristo Range,Colorado,,1875.0
Skeia,"Jul, Aug",Europe,Lom,Norway,Scramble,6949.0,2118.0552,,,,,,,,,,
Santa Maria,"Jan, Feb, Oct, Nov, Dec",North America,"Llanos del Pinal, Quetzaltenango",Guatemala,Walk up,12375.0,3771.9,,,,,"La Aurora, Guatemala City",,Guatemala Ranges,,,
Tajumulco,"Jan, Feb, Sep, Oct, Nov, Dec",North America,San Marcos,Guatemala,Walk up,13845.0,4219.956,,15.043384,-91.903589,,"La Aurora, Guatemala city",,Guatemala Ranges,,,
Store Skagastolstind,"Jul, Aug, Sep",Europe,Skjolden,Norway,Technical Climb,7884.0,2403.0432,William C. Slingsby,61.4167,7.86667,,Bergen,,Jotunheimen,,,1876.0
Brenibba,"Jul, Aug",Europe,"Loen, F?berg",Norway,,6621.0,2018.0808,,61.764444,7.194167,,"Oslo, Norway",,,,,
Hochwanner,"Jul, Aug, Sep",Europe,"Ehrwald, Leutasch",Austria,Scramble,9003.0,2744.1144,,47.395862,11.055981,,"Munich, Innsbruck",,Bavarian Alps,,,
Mount Marcus Baker,"Apr, May, Jun",North America,"Anchorage, Alaska",United States,Major Mountain Expedition,13176.0,4016.0448,"Bradford Washburn, N. Bright, N. Dyhrenfurth, P. Gabriel",61.4333,-147.75,,"Anchorage, Alaska",,Chugach Mountains,Alaska,,1938.0
Bashful Peak,"Jun, Jul, Aug",North America,"Anchorage, Alaska",United States,Basic Snow/Ice Climb,8005.0,2439.924,"Helga Bading, Paul Crews, Johnny Johnson, Rodman Wilson, Gregg Erickson",61.3,-148.86700000000002,,"Anchorage, Alaska",,,Alaska,,1959.0
Grande Ruine,"Jul, Aug, Sep",Europe,Villar d'Arène,France,Basic Snow/Ice Climb,12352.0,3764.8896,"Coolidge, Brevoort",44.967222,6.329722,,"Grenoble, Torino",,Dauphine Alps,,,
Benzarino,"Jun, Jul, Aug, Sep, Oct",North America,Marblemount,United States,Scramble,7720.0,2353.056,Lage Wernstedt,48.489705,-120.817466,,Seattle,,Cascade Range,Washington,,1926.0
Truuli Peak,"Jun, Jul",North America,"Fritz Creek, Alaska",United States,Major Mountain Expedition,6612.0,2015.3376,"Bill Babcock, Eric Barnes, B. Fox, Grace Hoeman, John Vincent (Vin) Hoeman, Yule Kilcher, Dave Johnston, H. Tschaeffert",59.9,-150.417,,"Homer, Alaska",,Kenai Mountains,Alaska,,1968.0
Biberkopf,"Jul, Aug, Sep, Oct",Europe,Lechleiten/Austria,Germany,Scramble,8527.0,2599.0296,,47.2667,10.25,,Friedrichshafen,,,,,
Acatenango,"Jan, Feb, Oct, Nov, Dec",North America,"La Soledad, Chimaltenango",Guatemala,Walk up,13044.0,3975.8112,,14.5,-90.8667,,"La Aurora, Guatemala City",,Guatemala Ranges,,,
Cevedale,"Jul, Aug, Sep",Europe,Bormio (Sondrio),Italy,Basic Snow/Ice Climb,12365.0,3768.8520000000003,,46.448055,10.620833,,Malpensa (Milan),,Ortler Alps,,,
Furgler,,Europe,Serfaus,Austria,Walk up,9856.0,3004.1088,,47.040278,10.511944,,Innsbruck,,Otztal Alps,,,
Cape Horn,"Jun, Jul, Aug, Sep",North America,Leavenworth,United States,Walk up,7616.0,2321.3568,,47.657138,-120.91788100000001,,Seattle,,Cascade Range,Washington,,
Montagne des Agneaux,"Jul, Aug",Europe,Ailefroide near Briancon,France,Basic Snow/Ice Climb,12021.0,3664.0008,"W.A.B. Coolidge, Christian Almer, Christian Roth",44.95,6.41667,,Grenoble or Lyon (Gap being closer yet a minor one),,Dauphine Alps,,,1873.0
Snowgrass,"May, Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Scramble,7993.0,2436.2664,,47.6839,-120.935,,Seattle,,Cascade Range,Washington,,
Doughgob,"May, Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Walk up,6172.0,1881.2256,,47.700608,-120.992281,,Seattle,,Cascade Range,Washington,,
Ladies Peak,"May, Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Scramble,7708.0,2349.3984,,47.665619,-120.932994,,Seattle,,Cascade Range,Washington,,
Thalay Sagar,"Apr, May, Jun",Asia,Uttarkashi,India,Major Mountain Expedition,22651.0,6904.0248,"Roy Kligfield, Pete Thexton, John Thackray",30.859861,78.99584899999999,,Delhi,,Garhwal Himalaya,,,1979.0
Little Bear Peak,"Jul, Aug, Sep",North America,Walsenburg,United States,Scramble,14037.0,4278.4776,Charles Fay & J.R. Edmands,37.5667,-105.49700000000001,,Colorado Springs,,Sangre de Cristo Range,Colorado,,1888.0
Coleman Peak,"Jun, Jul, Aug, Sep, Oct",Europe,Winthrop,Austria,Scramble,7690.0,2343.9120000000003,,,,,Seattle,,,,,
Monte Nerone,"Jan, Feb, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,"Ancona, Pesaro, Urbino",Italy,Walk up,5003.0,1524.9144,,43.557774,12.519156,,"Ancona, Rome, Florence",,,,,
Birkkarspitze,"Jul, Aug, Sep",Europe,Scharnitz,Austria,Walk up,9019.0,2748.9912,,47.411111,11.437778,,Innsbruck,,,,,
An Teallach,,Europe,Ullapool,United Kingdom,Scramble,3484.0,1061.9232,,57.806999999999995,-5.25172,,Inverness or Aberdeen,,Scottish Highlands,,,
Liathac,,Europe,Torridon?,United Kingdom,Scramble,3456.0,1053.3888,,,,,,,Scottish Highlands,,,
Ben Lui,,Europe,"Tyndrum, Dalmally",United Kingdom,Walk up,3707.0,1129.8936,,56.397,-4.8111,,Glasgow,,Scottish Highlands,,,
Fuego,"Jan, Feb, Sep, Oct, Nov, Dec",North America,"Alotenango, Sacatepéquez",Guatemala,Walk up,12346.0,3763.0608,,,,,"La Aurora, Guatemala City",,Sierra Madre del Sur,,,
Tacana,"Jan, Feb, Oct, Nov, Dec",North America,"Tacana, San Marcos",Mexico,Walk up,13425.0,4091.94,,,,,"La Aurora, Guatemala City",,Sierra Madre del Sur,,,
Galleon Peak,"Apr, May, Jun, Jul, Aug, Sep, Oct",North America,North Bend,United States,Scramble,5283.0,1610.2584,,47.538201,-121.43434599999999,,Seattle,,Cascade Range,Washington,,
Mont Renoso,"Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov",Europe,Corte,France,Walk up,7680.0,2340.864,,,,,Ajjacio,,,,,
Floating Rock,"Apr, May, Jun, Jul, Aug, Sep, Oct",North America,North Bend,United States,Scramble,5120.0,1560.576,,,,,Seattle,,Cascade Range,Washington,,
Glyder Fawr,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,"Llanberis, Bethesda or Capel Curig",United Kingdom,Walk up,3278.0,999.1344,,53.102476,-4.026833,,"Liverpool or Birmingham, England",,Snowdonia,,,
Cime du Glas,"Jul, Aug, Sep",Europe,Saint Martin Vȳubie,France,Scramble,10312.0,3143.0976,Paolo di St Robert,,,,Nice Cٴe d'Azur (Nice),,Maritime Alps,,,1864.0
Ben Macdui,,Europe,Aviemore / Braemar,United Kingdom,Walk up,4294.0,1308.8112,,57.0712,-3.66961,,Aberdeen / Glasgow,,Scottish Highlands,,,
Binnein Mor,,Europe,Fort William,United Kingdom,Walk up,3707.0,1129.8936,,56.7541,-4.92685,,Glasgow,,Scottish Highlands,,,
Sgurr na Ciche,,Europe,Fort William,United Kingdom,Scramble,3412.0,1039.9776,,57.0135,-5.456169999999999,,Inverness / Glasgow,,Scottish Highlands,,,
Krivan,"May, Jun, Sep",Europe,"Strba, Strbske Pleso, Pribilina",Slovakia,,8182.0,2493.8736,,49.162582,19.999914999999998,,Poprad-Tatry,,Carpathian Mountains,,,
Sgurr Alasdair,"Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov",Europe,Portree / Broadford,United Kingdom,Scramble,3254.0,991.8192,Dr. Norman Collie,57.2068,-6.22393,,Inverness / Glasgow,,Scottish Highlands,,,
Pollux,"Jul, Aug, Sep",Europe,Zermatt,Switzerland,Basic Snow/Ice Climb,13425.0,4091.94,Peter Taugwalder senior and Jules Jacot,45.927626000000004,7.785361999999999,,Geneva/Milano/Zurich,,Pennine Alps,,,1864.0
Mount Steele,"Jul, Aug, Sep",North America,Whitehorse,United States,Major Mountain Expedition,16644.0,5073.0912,"Walter Wood, Foresta Wood, Pearce Hazard, Joseph Fobes, Harrison Wood, Hans Fuhrer",61.093114,-140.311117,,Whitehorse International,,,,,1936.0
Mount Caubvik,"Jun, Jul, Aug",North America,,Canada,,5420.0,1652.016,,58.8833,-63.6,,Quebec City,,,,,
Ingleborough,,Europe,Ingleton,United Kingdom,Walk up,2376.0,724.2048,,54.165921999999995,-2.397506,,,,,,,
Grosser Krottenkopf,"Jun, Jul, Aug, Sep",Europe,"Oberstdorf, Steeg",Austria,Scramble,8714.0,2656.0272,Dr. Gümbel,47.312439000000005,10.355514999999999,,"Memmingen, Insbruck",,Austrian Alps,,,1864.0
Cal Peak,"May, Jun, Jul, Aug, Sep, Oct",North America,Winthrop,United States,Walk up,7489.0,2282.6472,,48.907834,-120.126057,,Seattle,,Cascade Range,Washington,,
Karava,"Jan, Feb, Apr, May, Jun",Europe,,Greece,Walk up,7165.0,2183.8920000000003,,39.3167,21.5833,,Athens,,Greek-Albanian Ranges,,,
Mount Rae,,North America,"Canmore, Alberta",Canada,Scramble,10558.0,3218.0784,,50.6223,-114.97399999999999,,Calgary,Alberta,Canadian Rockies,,,
Hoerndlwand,"May, Jun, Jul, Aug, Sep, Oct",Europe,Ruhpolding,Germany,Walk up,5525.0,1684.02,,,,,Munich / Salzburg,,,,,
Toliman,"Jan, Feb, Oct, Nov, Dec",North America,San Lucas Toliman,Guatemala,Walk up,10361.0,3158.0328,,,,,"La Aurora, Guatemala City",,Sierra Madre del Sur,,,
The Owl,"Jun, Jul, Aug, Sep",North America,,United States,Walk up,3736.0,1138.7328,,45.9,-68.95,,Bangor International,,,Maine,,
Trettachspitze,"Jul, Aug, Sep, Oct",Europe,Oberstdorf,Germany,Technical Climb,8514.0,2595.0672,"Urban, Alois und Mathias Jochum",47.303709000000005,10.295863,,"Friedrichshafen, Memmingen",,,,,1855.0
Braeriach,"Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov",Europe,Aviemore,United Kingdom,Walk up,4252.0,1296.0096,,57.0777,-3.73055,,Inverness / Aberdeen,,Scottish Highlands,,,
Mettelhorn,"Jun, Jul, Aug, Sep",Europe,Zermatt,Switzerland,Walk up,11174.0,3405.8352,,46.055633,7.741606,,Geneva,,Pennine Alps,,,
Cagire,"May, Jun, Jul, Aug, Sep, Oct",Europe,Saint-Gaudens,France,Walk up,6273.0,1912.0104,,42.9464,0.7661,,Toulouse,,Pyrenees,,,
Coleman Ridge Peak,"May, Jun, Jul, Aug, Sep, Oct",North America,Winthrop,United States,Walk up,7621.0,2322.8808,,48.897847,-120.15378,,Seattle,,Cascade Range,Washington,,
Picacho del Diablo,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,Ensenada,Mexico,Scramble,10157.0,3095.8536,,30.990833000000002,-115.375,,Tijuana,,,,,
Steinfalk,"Jun, Jul, Aug, Sep, Oct",Europe,"Lenggries, Pertisau",Austria,,7703.0,2347.8744,Hermann von Barth,47.427222,11.512222,,"Munich, Innsbruck",,Bavarian Alps,,,
Mount Aix,"May, Jun, Jul, Aug, Sep, Oct",North America,Yakima,United States,Walk up,7766.0,2367.0768,,46.795,-121.256,,Seattle,,Cascade Range,Washington,,
Nelson Butte,"May, Jun, Jul, Aug, Sep, Oct",North America,Yakima,United States,Walk up,7160.0,2182.368,,46.823615000000004,-121.20503400000001,,Seattle,,Cascade Range,Washington,,
Half Nelson,"May, Jun, Jul, Aug, Sep, Oct",North America,Yakima,United States,Walk up,7146.0,2178.1008,,46.818505,-121.232758,,Seattle,,Cascade Range,Washington,,
Lamsenspitze,"Jul, Aug, Sep, Oct",Europe,Pertisau,Austria,Scramble,8228.0,2507.8944,M. V. Lipold,47.382778,11.591111,,"Innsbruck, Munich",,,,,1843.0
Gothic Peak,"May, Jun, Jul, Aug, Sep, Oct",North America,Granite Falls,United States,Scramble,6213.0,1893.7224,"Norval Grigg, Art Winder, Don Blair, Willard Carr",47.98366,-121.476774,,Seattle,,Cascade Range,Washington,,1934.0
Del Campo,"May, Jun, Jul, Aug, Sep, Oct",North America,Granite Falls,United States,Scramble,6610.0,2014.7279999999998,J.A. Juleen,47.990783,-121.47063700000001,,Seattle,,Cascade Range,Washington,,1912.0
Hotakadake,"Aug, Sep",Asia,Matsumoto,Japan,Scramble,10466.0,3190.0368,,36.2961,137.645,,"Nagoya, Tokyo, Osaka",,Honshu,,,
Woerner,"Jul, Aug, Sep, Oct",Europe,Mittenwald,Germany,Scramble,8123.0,2475.8904,Hermann von Barth,47.45,11.3333,,"Munich, Innsbruck",,Bavarian Alps,,,1870.0
Mont Tauo Blanc,,Europe,"Pont, Rifugio Citta di Chivasso",Italy,Scramble,11279.0,3437.8392,,,,,Torino,,,,,
Koziakas,"Jan, Feb, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Trikala,Greece,Walk up,6237.0,1901.0376,,39.5333,21.5333,,Thessaloniki,,Greek-Albanian Ranges,,,
Batura,"Jun, Jul, Aug, Sep",Asia,,Pakistan,Major Mountain Expedition,25574.0,7794.9552,,36.510326,74.522581,,Islamabad,,Karakoram,,,1976.0
Loupata,"Jan, Feb, Apr, May, Jun, Jul, Dec",Europe,Trikala,Greece,Walk up,6778.0,2065.9344,,39.4833,21.4333,,Thessaloniki,,,,,
Falakro,"Jan, Feb, Apr, May, Jun, Sep, Oct, Nov, Dec",Europe,Drama,Greece,Walk up,7323.0,2232.0504,,41.3167,24.0833,,Thessaloniki,,Greek-Albanian Ranges,,,
Zunil,"Jan, Feb, Oct, Nov, Dec",North America,"Zunil, Quetzaltenango",Guatemala,Walk up,11621.0,3542.0808,,,,,"La Aurora, Guatemala City",,Sierra Madre del Sur,,,
