,Best months for climbing:,Continent:,Convenient Center:,Country:,Difficulty:,Elevation (feet):,Elevation (meters):,First successful climber(s):,Latitude:,Longitude:,Most recent eruption:,Nearest major airport:,Province:,Range/Region:,State:,Volcanic status:,Year first climbed:
Monte Dizgrazia,"Jul, Aug, Sep",Europe,"Sondrio, Italy",Italy,Basic Snow/Ice Climb,12067.0,3678.0216,"Leslie Stephen, E.S. Kennedy, Melchior Anderegg, Thomas Cox",46.2667,9.75,,"Bergamo, Italy",,Lepontine Alps,,,1862.0
Dom,"Jul, Aug, Sep",Europe,"Randa, Switzerland",Switzerland,Basic Snow/Ice Climb,14911.0,4544.8728,"J.L. Davies, Johann Zumtaugwald, Johann Kronig, Hieronymous Brantschen",46.09256,7.858925999999999,,"Geneva or Bern, Switzerland",,Pennine Alps,,,1858.0
Dykh-Tau,"Jul, Aug, Sep",Europe,"Mineral'nye Vody, Russia",Russia,Technical Climb,17074.0,5204.1552,"A. F. Mummery, H. Zurfluh",43.05,43.1333,,"Moscow, Russia, Kiev, Ukraine, Tbilisi, Georgia",,Central Caucasus,,,1888.0
Timms Hill,"Jun, Jul, Aug",North America,Wausau,United States,Walk up,1952.0,594.9696,,45.4511,-90.1951,,Stevens Point,,Midwest-Great Lakes Area,Wisconsin,,
Mount Edith Cavell,"Jul, Aug, Sep",North America,"Jasper, Alberta",Canada,Scramble,11033.0,3362.8584,"A.J. Gilmour, E.W. Holway",52.667378,-118.05650700000001,,"Edmonton or Calgary, Alberta",Alberta,Canadian Rockies,,,1915.0
Mount Egmont (Taranaki),"Jan, Feb, Mar, Dec",Australia/Oceania,"Stratford, North Island",New Zealand,Walk up,8261.0,2517.9528,"Ernst Dieffenbach, James Heberley",-39.3,174.067,,"Wellington, North Island",,North Island,,Dormant,1839.0
Eiger,"Jul, Aug, Sep",Europe,"Grindelwald, Switzerland",Switzerland,Technical Climb,13025.0,3970.02,"Charles Barrington, Christian Almer, Peter Bohren",46.577595,8.005171,,"Bern, Switzerland",,Berner Oberland,,,1858.0
El Capitan,"Jun, Jul, Aug",North America,"Yosemite National Park, California",United States,Walk up,7569.0,2307.0312,"Warren Harding, Wayne Merry, George Whitmore",37.7342,-119.637,,"Oakland, California, Reno, Nevada",,Sierra Nevada,California,,1958.0
Mount Elbert,"Jun, Jul, Aug, Sep",North America,"Leadville, Colorado",United States,Walk up,14433.0,4399.1784,"H. W. Stuckle, (of Hayden Survey)",39.1178,-106.445,,"Denver, Colorado",,Sawatch Range,Colorado,,1874.0
Mount Elgon,"Jan, Feb, Jun, Jul, Aug, Dec",Africa,"Kitale, Kenya",Uganda,Walk up,14178.0,4321.4544,Kmunke and Stigler,1.13333,34.55,,"Nairobi, Kenya",,Central East Africa Plateau,,Extinct,1911.0
